@relation testingwine

@attribute 'Buying Price' {low}
@attribute 'Maintainence Price' {vhigh,high,med,low}
@attribute Doors {5more,2.0,3.0,4.0}
@attribute Person {2.0,4.0,more}
@attribute 'Size of Luggage' {med,big,small}
@attribute Safety {high,low,med}
@attribute Class {unacc,acc,vgood,good}

@data
low,low,5more,4.0,big,med,good
low,low,5more,4.0,big,high,vgood
low,low,5more,more,small,low,unacc
low,low,5more,more,small,med,acc
low,low,5more,more,small,high,good
low,low,5more,more,med,low,unacc
low,low,5more,more,med,med,good
low,low,5more,more,med,high,vgood
low,low,5more,more,big,low,unacc
low,low,5more,more,big,med,good
low,low,5more,more,big,high,vgood
